station_name,location,latitude,longitude,train_line,city
Gombak LRT station,"Jalan Terminal Putra, Taman Melati  53100, Kuala Lumpur  Malaysia",3.226437,101.724989,LRT Kelana Jaya,Kuala Lumpur
Taman Melati LRT station,"Persiaran Pertahanan, Taman Melati  53100, Kuala Lumpur  Malaysia",3.223688,101.726384,LRT Kelana Jaya,Kuala Lumpur
Wangsa Maju LRT station,"Jalan 1/27A and Jalan 16/27B  Section 2, Wangsa Maju  53300, Kuala Lumpur, Malaysia",3.208613,101.733085,LRT Kelana Jaya,Kuala Lumpur
Sri Rampai LRT station,"Jalan Wangsa Perdana 1  Taman Sri Rampai, Wangsa Maju  53300, Kuala Lumpur  Malaysia",3.201344,101.744175,LRT Kelana Jaya,Kuala Lumpur
Setiawangsa LRT station,"Jalan Jelatek  AU1, Taman Setiawangsa  54200, Kuala Lumpur  Malaysia",3.177713,101.75013,LRT Kelana Jaya,Kuala Lumpur
Jelatek LRT station,"Jalan Jelatek  AU1, Taman Keramat  54200, Kuala Lumpur  Malaysia",3.184833,101.74807,LRT Kelana Jaya,Kuala Lumpur
Dato' Keramat LRT station,"Jalan Datuk Keramat  Kampung Datuk Keramat  54000, Kuala Lumpur, Malaysia",3.165243734,101.7315946,LRT Kelana Jaya,Kuala Lumpur
Damai LRT station,"Jalan Datuk Keramat  Kampung Datuk Keramat  54000, Kuala Lumpur, Malaysia",3.164641271,101.7244674,LRT Kelana Jaya,Kuala Lumpur
Ampang Park LRT station,"Jalan Ampang, Kuala LumpurMalaysia",3.15976,101.707857,LRT Kelana Jaya,Kuala Lumpur
KLCC LRT station,"Jalan Ampang, Kuala Lumpur",3.15976,101.707857,LRT Kelana Jaya,Kuala Lumpur
Kampung Baru LRT station,"Jalan Haji Hassan Salleh, Kampung Baru, Kuala Lumpur, Malaysia.",3.166093,101.711031,LRT Kelana Jaya,Kuala Lumpur
Dang Wangi LRT station,"Jalan Ampang, City Centre, Kuala Lumpur, Malaysia.",3.156477673,101.7029884,LRT Kelana Jaya,Kuala Lumpur
Masjid Jamek LRT station,Jalan Tun Perak50050 WP Kuala Lumpur,3.149897715,101.6966581,Interchange,Kuala Lumpur
Pasar Seni LRT station,"Nearby Central Market, Kuala Lumpur, Malaysia",3.145855,101.69568,LRT Kelana Jaya,Kuala Lumpur
Kuala Lumpur Sentral railway station,"Brickfields, Kuala LumpurMalaysia",3.1349,101.6854,LRT Kelana Jaya,Kuala Lumpur
Bank Rakyat-Bangsar LRT Station,"Jalan Bangsar, Bangsar, Kuala LumpurMalaysia",3.1292,101.6785,LRT Kelana Jaya,Kuala Lumpur
Abdullah Hukum station,"Jalan Bangsar, Kampung Haji Abdullah Hukum, Kuala Lumpur, Malaysia.",3.118973,101.672512,LRT Kelana Jaya,Kuala Lumpur
Kerinchi LRT station,Plaza Pantai,3.115596,101.668543,LRT Kelana Jaya,Kuala Lumpur
Universiti LRT station,"Beside Kuala Lumpur bound, Federal Highway.",3.07154,101.702468,LRT Kelana Jaya,Kuala Lumpur
Taman Jaya LRT station,"Persiaran Barat, Section 52, Petaling Jaya, Selangor, Malaysia.",3.099175,101.645023,LRT Kelana Jaya,Petaling Jaya
Asia Jaya LRT station,"Off Jalan Utara and Jalan 51A/223, Section 51A, Petaling Jaya, Selangor, Malaysia.",3.098357,101.590096,LRT Kelana Jaya,Petaling Jaya
Taman Paramount LRT station,At the edge of Jalan 21/1,3.1057,101.6236,LRT Kelana Jaya,Petaling Jaya
Taman Bahagia LRT station,Jalan SS 3/59E and Jalan SS 2/3,3.1101,101.6121,LRT Kelana Jaya,Petaling Jaya
Kelana Jaya LRT station,"Ss 4, 47301 Petaling Jaya, Selangor",3.1132,101.5944,LRT Kelana Jaya,Petaling Jaya
Lembah Subang LRT station,"Jalan PJU 1A/46  PJU 1A, Ara Damansara  47301, Petaling Jaya, Selangor  Malaysia",3.112358022,101.591229,LRT Kelana Jaya,Petaling Jaya
Ara Damansara LRT station,"Jalan Lapangan Terbang Subang  PJU 1A, Ara Damansara  47301, Petaling Jaya, Selangor  Malaysia",3.107834807,101.5860574,LRT Kelana Jaya,Petaling Jaya
Glenmarie LRT station,"Jalan Lapangan Terbang Subang  Glenmarie, Section U1  40150, Shah Alam, Selangor  Malaysia",3.082665,101.561558,LRT Kelana Jaya,Shah Alam
Subang Jaya station,"Jalan SS16/1, SS16  47500, Subang JayaSelangorMalaysia",3.079168,101.598234,LRT Kelana Jaya,Subang Jaya
SS15 LRT station,"Persiaran Jengka, SS15  47500, Subang Jaya, SelangorMalaysia",3.0766,101.586589,LRT Kelana Jaya,Subang Jaya
SS18 LRT station,"Persiaran Jengka, SS18  47500, Subang Jaya, SelangorMalaysia",3.06931,101.594653,LRT Kelana Jaya,Subang Jaya
USJ7 LRT station,"Persiaran Kewajipan  USJ7, UEP Subang Jaya  47610, Subang JayaSelangorMalaysia",3.055689,101.580523,LRT Kelana Jaya,Subang Jaya
Taipan LRT station,"Persiaran Kewajipan  USJ6 (Taipan), UEP Subang Jaya  47610, Subang Jaya, Selangor  Malaysia",3.055689,101.580523,LRT Kelana Jaya,Subang Jaya
Wawasan LRT station,"Persiaran Kewajipan  USJ14, UEP Subang Jaya  47630, Subang Jaya, Selangor  Malaysia",3.0792,101.580845,LRT Kelana Jaya,Subang Jaya
